IPK,Semester,Jurusan,Pernah_Mengulang,Pendapatan_Orang_Tua,Pekerjaan_Orang_Tua,Jumlah_Tanggungan,Status_Tempat_Tinggal,Asal_Daerah,Aktif_Organisasi,Jumlah_Kegiatan_Relawan,Pengalaman_Magang,Skor_Motivasi_Tertulis,Surat_Rekomendasi,Pernah_Mendapat_Beasiswa,Skor_Keaktifan_Kampus,Rekam_Ketidakhadiran,Pernah_Melawan_Hukum,Jenis_Kelamin,Skor_Literasi_Finansial,Status_Kelayakan,Jumlah_Beasiswa_Per_Semester
3.07,2,teknik informatika,tidak,7043005,wirausaha,6,menumpang,perkotaan,ya,4,ya,55,tidak,tidak,98,20,tidak,laki-laki,69,tidak layak,0
2.98,5,kedokteran,tidak,5599302,wirausaha,4,menumpang,3t,ya,2,ya,82,tidak,ya,53,20,tidak,perempuan,38,tidak layak,0
3.15,1,pertanian,tidak,4461055,tidak bekerja,6,menumpang,pedesaan,tidak,5,tidak,88,ada,tidak,69,9,tidak,laki-laki,91,layak,5168089
2.79,4,manajemen,tidak,3730541,tidak bekerja,3,kontrak,3t,tidak,3,ya,53,tidak,ya,80,6,tidak,perempuan,86,tidak layak,0
3.26,7,ekonomi,tidak,8868933,wirausaha,4,kontrak,perkotaan,tidak,5,tidak,60,ada,ya,81,14,tidak,laki-laki,88,tidak layak,0
3.38,4,pertanian,tidak,3131333,buruh,3,milik sendiri,perkotaan,ya,0,ya,68,ada,ya,57,11,tidak,perempuan,38,tidak layak,0
2.78,5,pertanian,tidak,6830138,karyawan swasta,6,menumpang,3t,ya,5,tidak,78,tidak,ya,96,10,tidak,perempuan,49,tidak layak,0
2.95,4,ekonomi,tidak,1268727,wirausaha,4,menumpang,pedesaan,ya,1,tidak,86,tidak,ya,91,17,tidak,laki-laki,72,tidak layak,0
3.97,4,pertanian,tidak,813131,petani,6,menumpang,3t,ya,1,ya,95,tidak,ya,84,19,tidak,laki-laki,62,layak,2195146
3.59,6,ekonomi,ya,903608,tidak bekerja,5,kontrak,pedesaan,ya,0,tidak,68,ada,ya,66,2,tidak,perempuan,86,layak,3419277
2.76,7,manajemen,tidak,5840799,karyawan swasta,5,kontrak,3t,ya,5,ya,51,tidak,ya,65,17,tidak,laki-laki,38,tidak layak,0
3.85,7,pertanian,ya,8895862,pedagang,2,kontrak,pedesaan,ya,1,tidak,77,tidak,ya,50,14,tidak,perempuan,83,layak,3404099
3.17,1,teknik informatika,tidak,8589743,pegawai negeri,5,kontrak,perkotaan,ya,2,tidak,63,tidak,ya,60,17,tidak,perempuan,11,tidak layak,0
3.33,7,manajemen,tidak,9836169,pegawai negeri,4,milik sendiri,perkotaan,tidak,2,tidak,71,tidak,tidak,67,7,tidak,perempuan,43,tidak layak,0
2.71,2,teknik informatika,tidak,7968826,wirausaha,1,kontrak,perkotaan,ya,4,ya,61,ada,ya,79,11,tidak,perempuan,1,tidak layak,0
3.13,4,teknik informatika,tidak,6503240,pedagang,1,menumpang,perkotaan,tidak,1,ya,81,tidak,ya,67,15,tidak,laki-laki,0,tidak layak,0
3.84,4,sastra,ya,887847,wirausaha,6,menumpang,perkotaan,tidak,3,ya,77,ada,tidak,77,13,tidak,perempuan,63,layak,5032245
2.86,1,kedokteran,ya,7547472,buruh,4,kontrak,3t,ya,0,tidak,51,ada,tidak,54,7,tidak,perempuan,39,tidak layak,0
2.68,2,manajemen,ya,7746900,tidak bekerja,1,menumpang,perkotaan,tidak,2,ya,80,ada,tidak,53,10,tidak,laki-laki,9,tidak layak,0
2.96,8,manajemen,tidak,2594239,petani,1,milik sendiri,pedesaan,tidak,5,ya,58,ada,tidak,53,9,tidak,perempuan,8,tidak layak,0
2.3,2,teknik informatika,tidak,5447882,tidak bekerja,4,kontrak,3t,tidak,1,tidak,100,ada,tidak,74,14,tidak,laki-laki,43,tidak layak,0
2.93,1,pertanian,tidak,3729300,petani,1,milik sendiri,pedesaan,ya,1,tidak,58,tidak,tidak,76,15,tidak,perempuan,23,tidak layak,0
2.74,4,hukum,tidak,1514873,pedagang,3,menumpang,pedesaan,tidak,2,ya,84,ada,ya,80,9,tidak,perempuan,47,tidak layak,0
2.59,1,hukum,ya,9007858,tidak bekerja,5,milik sendiri,pedesaan,ya,1,tidak,62,ada,tidak,62,15,tidak,perempuan,76,tidak layak,0
3.47,6,pendidikan,tidak,7524541,pegawai negeri,2,milik sendiri,pedesaan,tidak,0,tidak,50,ada,ya,79,19,tidak,perempuan,94,tidak layak,0
3.43,6,ekonomi,tidak,3591109,tidak bekerja,1,kontrak,3t,ya,4,ya,68,tidak,ya,90,18,tidak,perempuan,5,tidak layak,0
3.1,1,kedokteran,ya,3421695,pedagang,3,menumpang,3t,tidak,1,ya,51,ada,tidak,56,0,tidak,laki-laki,48,tidak layak,0
3.36,2,pendidikan,tidak,5618265,karyawan swasta,2,kontrak,perkotaan,tidak,4,tidak,89,tidak,ya,57,4,tidak,laki-laki,24,tidak layak,0
3.19,4,ekonomi,tidak,5834342,buruh,4,menumpang,pedesaan,ya,4,tidak,84,tidak,ya,70,7,tidak,perempuan,16,tidak layak,0
2.82,8,kedokteran,tidak,8396486,tidak bekerja,6,menumpang,3t,ya,5,tidak,73,tidak,tidak,61,10,tidak,perempuan,91,tidak layak,0
3.59,8,pertanian,tidak,7226758,wirausaha,5,menumpang,3t,ya,1,tidak,65,tidak,ya,69,13,tidak,laki-laki,47,tidak layak,0
2.95,5,manajemen,ya,1909758,pegawai negeri,4,menumpang,pedesaan,ya,3,tidak,71,tidak,tidak,79,13,tidak,perempuan,40,tidak layak,0
2.81,5,ekonomi,ya,7910303,pedagang,3,menumpang,3t,tidak,2,tidak,82,ada,tidak,64,3,tidak,perempuan,4,tidak layak,0
3.11,4,pendidikan,ya,6023752,pegawai negeri,3,menumpang,perkotaan,tidak,2,ya,88,ada,tidak,50,9,tidak,perempuan,100,tidak layak,0
3.29,6,manajemen,tidak,3651542,karyawan swasta,6,kontrak,pedesaan,ya,4,ya,58,ada,tidak,97,0,tidak,perempuan,43,tidak layak,0
3.19,4,ekonomi,tidak,7267404,tidak bekerja,6,menumpang,pedesaan,ya,4,tidak,58,ada,tidak,86,20,tidak,perempuan,48,tidak layak,0
3.42,4,ekonomi,ya,6983284,pedagang,4,milik sendiri,pedesaan,tidak,5,tidak,55,ada,ya,93,17,tidak,perempuan,3,tidak layak,0
3.22,3,kedokteran,ya,6974228,pegawai negeri,2,milik sendiri,pedesaan,ya,3,ya,83,ada,ya,70,13,tidak,laki-laki,16,tidak layak,0
3.22,7,pertanian,tidak,7026217,tidak bekerja,2,milik sendiri,perkotaan,ya,5,tidak,60,tidak,ya,82,14,tidak,laki-laki,18,tidak layak,0
2.64,8,manajemen,tidak,4641290,buruh,3,menumpang,perkotaan,ya,4,ya,55,tidak,tidak,72,9,tidak,laki-laki,53,tidak layak,0
3.9,4,hukum,tidak,7749042,karyawan swasta,4,menumpang,3t,ya,3,tidak,52,ada,ya,67,20,tidak,laki-laki,89,layak,3822465
2.91,8,ekonomi,tidak,9774845,petani,3,milik sendiri,perkotaan,ya,2,tidak,60,tidak,ya,82,1,tidak,laki-laki,81,tidak layak,0
3.56,8,ekonomi,tidak,7199844,tidak bekerja,2,kontrak,3t,ya,5,tidak,70,tidak,tidak,79,2,tidak,laki-laki,91,tidak layak,0
2.87,8,hukum,tidak,5183223,tidak bekerja,2,milik sendiri,perkotaan,tidak,1,ya,84,tidak,ya,54,0,tidak,laki-laki,56,tidak layak,0
4.0,6,hukum,tidak,1077888,wirausaha,5,milik sendiri,pedesaan,ya,5,tidak,91,ada,tidak,94,9,tidak,laki-laki,6,layak,5165823
3.85,2,pendidikan,tidak,3680079,buruh,2,menumpang,pedesaan,ya,1,ya,72,tidak,ya,50,12,tidak,laki-laki,49,tidak layak,0
3.33,4,pertanian,tidak,5171743,wirausaha,5,kontrak,3t,tidak,3,ya,88,tidak,ya,95,17,tidak,laki-laki,32,tidak layak,0
3.2,2,pendidikan,tidak,7019046,wirausaha,6,milik sendiri,pedesaan,tidak,5,ya,92,tidak,ya,71,0,tidak,perempuan,48,tidak layak,0
2.98,8,pendidikan,ya,5827414,wirausaha,1,menumpang,perkotaan,ya,2,tidak,64,tidak,tidak,65,6,tidak,laki-laki,87,tidak layak,0
3.43,4,ekonomi,tidak,3579382,karyawan swasta,6,milik sendiri,3t,ya,1,ya,59,ada,ya,55,5,tidak,laki-laki,30,tidak layak,0
3.85,2,ekonomi,tidak,5725481,pedagang,6,milik sendiri,pedesaan,ya,1,ya,86,tidak,ya,67,15,tidak,perempuan,50,tidak layak,0
2.97,7,hukum,tidak,7591683,buruh,5,menumpang,pedesaan,ya,3,ya,74,tidak,ya,98,9,tidak,laki-laki,70,tidak layak,0
2.79,3,sastra,tidak,5631265,karyawan swasta,3,kontrak,pedesaan,ya,2,ya,80,ada,ya,62,0,ya,perempuan,62,tidak layak,0
3.21,7,ekonomi,tidak,6760332,karyawan swasta,4,kontrak,perkotaan,ya,3,tidak,57,tidak,ya,62,13,tidak,perempuan,65,tidak layak,0
2.89,8,pendidikan,tidak,6964817,karyawan swasta,6,milik sendiri,pedesaan,ya,2,tidak,93,ada,ya,66,19,tidak,laki-laki,32,tidak layak,0
3.61,4,hukum,ya,2048634,wirausaha,6,kontrak,pedesaan,ya,0,tidak,62,tidak,ya,77,8,tidak,perempuan,75,layak,4583513
3.24,7,manajemen,ya,6277952,tidak bekerja,2,kontrak,perkotaan,tidak,3,tidak,50,ada,tidak,50,3,tidak,perempuan,67,tidak layak,0
3.69,7,sastra,tidak,3362767,pedagang,3,milik sendiri,perkotaan,ya,1,tidak,57,tidak,ya,61,6,tidak,laki-laki,97,layak,3609646
2.72,5,ekonomi,tidak,2331995,tidak bekerja,6,milik sendiri,3t,ya,0,ya,71,ada,ya,80,15,tidak,laki-laki,1,tidak layak,0
3.24,1,sastra,tidak,621243,wirausaha,5,milik sendiri,3t,ya,0,ya,83,tidak,tidak,80,10,tidak,perempuan,47,tidak layak,0
2.93,6,pendidikan,tidak,6560108,wirausaha,4,kontrak,perkotaan,tidak,2,tidak,50,tidak,tidak,96,4,ya,laki-laki,67,tidak layak,0
2.83,5,kedokteran,tidak,8472523,buruh,4,menumpang,3t,tidak,2,ya,73,ada,tidak,93,14,tidak,perempuan,51,tidak layak,0
3.23,2,pendidikan,tidak,8488000,wirausaha,6,milik sendiri,perkotaan,ya,1,tidak,83,ada,ya,81,2,tidak,perempuan,21,tidak layak,0
3.64,8,manajemen,tidak,9570902,pedagang,2,milik sendiri,3t,tidak,5,ya,77,ada,ya,70,12,tidak,laki-laki,92,layak,4161144
3.44,8,manajemen,tidak,9468148,wirausaha,6,kontrak,3t,tidak,1,tidak,99,ada,tidak,74,12,tidak,perempuan,29,tidak layak,0
3.69,4,sastra,ya,1971032,petani,1,kontrak,perkotaan,tidak,5,tidak,86,tidak,ya,70,12,tidak,laki-laki,39,layak,2519128
3.26,4,ekonomi,tidak,5862719,tidak bekerja,3,menumpang,perkotaan,ya,5,tidak,64,ada,tidak,50,17,tidak,perempuan,18,tidak layak,0
2.99,5,kedokteran,tidak,8146795,pedagang,5,kontrak,3t,tidak,5,ya,70,tidak,ya,67,18,tidak,laki-laki,63,tidak layak,0
3.34,5,ekonomi,ya,6089238,pedagang,6,milik sendiri,perkotaan,tidak,1,tidak,53,ada,tidak,96,12,tidak,laki-laki,2,tidak layak,0
2.89,7,pendidikan,tidak,8442696,pegawai negeri,4,kontrak,3t,tidak,2,tidak,62,tidak,ya,58,10,tidak,laki-laki,90,tidak layak,0
2.67,5,pertanian,tidak,2807889,karyawan swasta,6,kontrak,pedesaan,ya,1,tidak,62,ada,tidak,96,18,tidak,laki-laki,48,tidak layak,0
2.76,7,hukum,tidak,2111413,pegawai negeri,4,milik sendiri,perkotaan,ya,4,tidak,87,tidak,ya,90,12,tidak,laki-laki,30,tidak layak,0
2.34,7,pertanian,tidak,3393851,wirausaha,6,kontrak,perkotaan,tidak,5,tidak,99,tidak,tidak,67,20,tidak,perempuan,1,tidak layak,0
3.67,3,manajemen,tidak,9517939,pedagang,4,menumpang,3t,ya,4,tidak,83,tidak,ya,83,18,tidak,laki-laki,96,layak,3740332
2.72,2,hukum,tidak,3518851,petani,5,kontrak,perkotaan,ya,1,tidak,91,ada,ya,85,8,tidak,laki-laki,10,tidak layak,0
3.06,2,sastra,tidak,9633971,pedagang,4,menumpang,3t,ya,4,tidak,68,tidak,ya,86,15,tidak,perempuan,77,tidak layak,0
3.08,5,sastra,tidak,3240044,karyawan swasta,4,milik sendiri,perkotaan,tidak,5,ya,63,ada,tidak,90,20,tidak,perempuan,72,tidak layak,0
3.05,3,ekonomi,tidak,5807645,tidak bekerja,4,kontrak,3t,tidak,0,ya,84,ada,tidak,54,10,tidak,perempuan,42,tidak layak,0
2.8,5,hukum,tidak,4287716,pegawai negeri,1,milik sendiri,pedesaan,tidak,3,tidak,100,ada,ya,83,9,tidak,perempuan,12,tidak layak,0
3.4,6,sastra,tidak,2162054,petani,2,kontrak,perkotaan,ya,2,tidak,93,tidak,tidak,87,4,tidak,laki-laki,84,layak,3060054
3.22,3,ekonomi,tidak,4985722,petani,6,menumpang,perkotaan,tidak,1,tidak,76,tidak,ya,78,11,tidak,perempuan,35,tidak layak,0
3.31,7,kedokteran,tidak,1958649,pegawai negeri,4,kontrak,perkotaan,tidak,0,tidak,55,ada,ya,55,9,tidak,perempuan,1,tidak layak,0
2.92,1,pertanian,tidak,9283147,pedagang,2,milik sendiri,pedesaan,ya,2,tidak,77,tidak,tidak,60,11,tidak,perempuan,86,tidak layak,0
3.17,4,manajemen,tidak,8605487,pegawai negeri,3,milik sendiri,3t,tidak,3,ya,69,ada,tidak,89,15,tidak,laki-laki,78,tidak layak,0
2.95,8,pendidikan,tidak,2297914,petani,3,menumpang,3t,ya,0,tidak,62,ada,ya,76,3,tidak,laki-laki,19,tidak layak,0
3.08,5,kedokteran,tidak,6779870,pegawai negeri,3,kontrak,perkotaan,ya,2,ya,78,tidak,ya,58,11,tidak,laki-laki,45,tidak layak,0
3.58,4,manajemen,ya,1175388,pedagang,4,kontrak,perkotaan,tidak,1,tidak,80,tidak,ya,76,15,tidak,laki-laki,41,tidak layak,0
2.61,7,ekonomi,ya,2309919,tidak bekerja,1,milik sendiri,3t,ya,5,ya,93,tidak,tidak,88,0,tidak,perempuan,36,tidak layak,0
3.68,4,kedokteran,tidak,8539562,petani,5,kontrak,perkotaan,ya,2,ya,72,tidak,ya,70,1,tidak,laki-laki,6,tidak layak,0
3.07,6,kedokteran,tidak,5200293,buruh,1,kontrak,3t,tidak,2,ya,57,ada,ya,93,17,tidak,laki-laki,42,tidak layak,0
2.98,6,pendidikan,tidak,9372833,buruh,3,milik sendiri,perkotaan,ya,3,ya,56,ada,ya,52,18,tidak,laki-laki,24,tidak layak,0
3.36,8,manajemen,ya,9670074,buruh,3,kontrak,perkotaan,tidak,1,tidak,59,ada,ya,62,13,tidak,perempuan,97,tidak layak,0
2.8,6,pendidikan,tidak,2470130,karyawan swasta,1,kontrak,pedesaan,tidak,4,tidak,60,tidak,ya,68,1,tidak,laki-laki,88,tidak layak,0
3.19,4,ekonomi,tidak,9433361,tidak bekerja,5,milik sendiri,3t,tidak,3,tidak,74,tidak,tidak,63,5,ya,laki-laki,75,tidak layak,0
2.72,1,pertanian,tidak,9309266,pegawai negeri,3,milik sendiri,pedesaan,ya,0,ya,52,ada,tidak,52,20,tidak,perempuan,17,tidak layak,0
3.18,5,teknik informatika,tidak,4677662,tidak bekerja,2,menumpang,3t,tidak,5,tidak,73,tidak,ya,95,17,tidak,laki-laki,52,tidak layak,0
2.65,5,pendidikan,tidak,674620,tidak bekerja,3,milik sendiri,perkotaan,ya,2,tidak,84,ada,tidak,91,8,tidak,laki-laki,56,layak,3850854
2.55,6,sastra,tidak,7134775,pedagang,4,milik sendiri,perkotaan,ya,1,tidak,55,tidak,ya,79,5,tidak,laki-laki,24,tidak layak,0
2.96,8,hukum,tidak,853115,pegawai negeri,2,milik sendiri,perkotaan,tidak,1,ya,54,tidak,ya,79,20,tidak,laki-laki,92,tidak layak,0
3.93,3,teknik informatika,tidak,6839692,karyawan swasta,1,milik sendiri,perkotaan,tidak,5,tidak,58,ada,ya,67,4,tidak,laki-laki,1,tidak layak,0
3.16,2,pendidikan,tidak,1925479,pedagang,2,kontrak,perkotaan,tidak,1,ya,80,ada,ya,53,17,tidak,laki-laki,2,layak,2373509
3.57,2,sastra,ya,7467320,pedagang,1,milik sendiri,3t,ya,1,ya,68,ada,tidak,93,3,tidak,laki-laki,28,tidak layak,0
2.72,2,sastra,tidak,6098972,petani,3,milik sendiri,perkotaan,tidak,1,tidak,71,ada,tidak,59,9,tidak,perempuan,44,tidak layak,0
3.23,2,sastra,tidak,6692680,pegawai negeri,6,milik sendiri,perkotaan,tidak,1,tidak,59,tidak,ya,74,14,tidak,perempuan,8,tidak layak,0
3.29,2,ekonomi,tidak,5172054,pedagang,1,kontrak,perkotaan,ya,3,ya,81,tidak,tidak,94,13,tidak,perempuan,17,tidak layak,0
3.02,4,ekonomi,tidak,8839992,buruh,5,kontrak,pedesaan,tidak,3,ya,95,tidak,ya,94,2,tidak,laki-laki,26,tidak layak,0
2.88,1,pendidikan,tidak,2741313,petani,1,kontrak,pedesaan,tidak,1,ya,59,tidak,ya,63,7,tidak,laki-laki,15,tidak layak,0
3.72,3,ekonomi,tidak,7625430,pegawai negeri,1,menumpang,3t,ya,3,tidak,60,ada,ya,73,4,tidak,laki-laki,1,tidak layak,0
3.47,7,hukum,tidak,8381344,wirausaha,2,menumpang,pedesaan,tidak,3,tidak,71,tidak,ya,68,3,tidak,laki-laki,77,tidak layak,0
3.66,3,hukum,ya,7607177,wirausaha,4,menumpang,perkotaan,ya,4,tidak,95,ada,tidak,60,8,tidak,perempuan,16,layak,3777246
3.31,7,teknik informatika,tidak,3581870,tidak bekerja,6,menumpang,perkotaan,ya,5,tidak,70,tidak,tidak,60,1,tidak,perempuan,24,tidak layak,0
2.92,5,manajemen,ya,6585123,buruh,3,milik sendiri,pedesaan,ya,0,ya,88,ada,tidak,62,17,tidak,laki-laki,30,tidak layak,0
3.6,5,manajemen,tidak,9975718,petani,5,kontrak,3t,ya,2,ya,72,tidak,tidak,82,6,tidak,perempuan,92,tidak layak,0
2.9,6,hukum,tidak,2133762,pegawai negeri,4,menumpang,pedesaan,ya,1,ya,100,tidak,tidak,87,1,tidak,laki-laki,87,tidak layak,0
3.31,8,manajemen,tidak,2065160,wirausaha,2,milik sendiri,perkotaan,tidak,5,ya,82,tidak,tidak,100,4,tidak,perempuan,79,layak,5614663
2.83,1,ekonomi,tidak,1758262,pedagang,5,menumpang,perkotaan,ya,0,ya,69,ada,tidak,56,14,tidak,perempuan,20,tidak layak,0
3.78,2,sastra,tidak,6428539,petani,1,milik sendiri,perkotaan,ya,3,tidak,98,tidak,ya,57,18,tidak,perempuan,36,layak,5363321
3.92,7,hukum,tidak,9097975,tidak bekerja,5,kontrak,pedesaan,tidak,4,tidak,93,ada,ya,97,7,tidak,laki-laki,19,tidak layak,0
2.78,2,sastra,tidak,7198813,tidak bekerja,1,milik sendiri,pedesaan,ya,0,ya,79,tidak,ya,55,5,tidak,perempuan,98,tidak layak,0
2.41,7,kedokteran,tidak,1581652,pegawai negeri,3,menumpang,pedesaan,tidak,3,ya,79,ada,ya,80,4,tidak,perempuan,72,layak,2262758
3.11,7,teknik informatika,tidak,6564842,tidak bekerja,4,kontrak,pedesaan,ya,0,tidak,93,tidak,tidak,66,20,tidak,laki-laki,8,tidak layak,0
3.09,5,ekonomi,ya,8073586,tidak bekerja,4,menumpang,pedesaan,tidak,1,tidak,55,tidak,tidak,98,9,tidak,perempuan,53,tidak layak,0
3.1,8,pertanian,tidak,3195916,wirausaha,4,kontrak,perkotaan,ya,0,tidak,88,ada,ya,96,18,tidak,perempuan,85,layak,4655122
3.84,1,hukum,tidak,2974414,karyawan swasta,3,milik sendiri,perkotaan,tidak,2,tidak,50,tidak,ya,90,14,tidak,laki-laki,4,tidak layak,0
3.33,4,kedokteran,tidak,9661806,tidak bekerja,2,menumpang,pedesaan,ya,1,tidak,86,ada,tidak,73,0,tidak,perempuan,64,tidak layak,0
3.21,2,pertanian,tidak,8150368,karyawan swasta,4,kontrak,pedesaan,ya,4,tidak,71,ada,ya,79,13,tidak,laki-laki,69,tidak layak,0
3.36,7,ekonomi,tidak,7839925,wirausaha,3,menumpang,perkotaan,tidak,0,tidak,56,ada,ya,89,13,tidak,laki-laki,81,tidak layak,0
2.94,8,teknik informatika,tidak,7557182,pedagang,2,kontrak,pedesaan,ya,3,tidak,72,tidak,tidak,91,12,ya,perempuan,100,tidak layak,0
4.0,4,sastra,tidak,4937558,pegawai negeri,4,menumpang,pedesaan,tidak,3,ya,51,ada,tidak,83,19,tidak,laki-laki,73,layak,5607266
3.63,4,ekonomi,ya,7098776,tidak bekerja,1,menumpang,pedesaan,tidak,3,tidak,61,tidak,tidak,83,5,tidak,laki-laki,90,tidak layak,0
3.72,3,manajemen,tidak,7076872,tidak bekerja,6,kontrak,perkotaan,ya,2,ya,55,ada,tidak,50,20,tidak,laki-laki,3,tidak layak,0
3.47,2,ekonomi,ya,2690232,karyawan swasta,6,menumpang,perkotaan,ya,5,tidak,69,ada,ya,96,12,tidak,laki-laki,35,layak,2695947
3.53,3,teknik informatika,tidak,2235086,petani,4,menumpang,3t,ya,2,tidak,55,ada,tidak,73,6,tidak,perempuan,2,layak,5470745
2.83,2,pertanian,tidak,1780314,pedagang,6,kontrak,pedesaan,ya,3,tidak,61,tidak,ya,61,18,tidak,laki-laki,15,tidak layak,0
3.3,6,pendidikan,tidak,9668459,petani,2,menumpang,perkotaan,tidak,1,tidak,84,ada,ya,63,11,tidak,laki-laki,3,tidak layak,0
2.64,6,hukum,tidak,2623664,pegawai negeri,3,kontrak,3t,ya,5,tidak,68,tidak,tidak,77,16,tidak,laki-laki,32,tidak layak,0
3.31,3,kedokteran,tidak,5215786,karyawan swasta,1,menumpang,perkotaan,ya,1,tidak,96,tidak,tidak,78,13,tidak,perempuan,40,tidak layak,0
3.78,2,ekonomi,tidak,6420939,pegawai negeri,6,milik sendiri,pedesaan,tidak,4,ya,76,tidak,tidak,75,0,tidak,perempuan,54,tidak layak,0
2.89,3,pendidikan,tidak,4110191,wirausaha,3,kontrak,3t,ya,0,ya,50,tidak,ya,79,18,tidak,laki-laki,71,tidak layak,0
3.46,2,ekonomi,tidak,4059708,buruh,2,milik sendiri,pedesaan,tidak,5,ya,91,tidak,tidak,70,10,tidak,laki-laki,63,tidak layak,0
3.02,8,teknik informatika,tidak,7567188,petani,1,kontrak,3t,ya,3,ya,51,tidak,ya,91,18,tidak,perempuan,36,tidak layak,0
2.87,3,ekonomi,ya,9450091,buruh,1,kontrak,perkotaan,ya,0,tidak,76,tidak,tidak,70,11,tidak,perempuan,63,tidak layak,0
3.29,1,ekonomi,tidak,8126616,karyawan swasta,6,milik sendiri,perkotaan,tidak,0,ya,53,ada,ya,56,10,tidak,perempuan,28,tidak layak,0
3.57,3,manajemen,ya,6688771,tidak bekerja,5,milik sendiri,perkotaan,tidak,2,tidak,52,ada,ya,69,2,tidak,perempuan,34,tidak layak,0
2.59,3,hukum,tidak,2511612,pedagang,3,milik sendiri,perkotaan,tidak,3,tidak,92,ada,ya,86,15,tidak,perempuan,41,tidak layak,0
3.71,8,kedokteran,ya,5469984,wirausaha,1,kontrak,pedesaan,tidak,5,tidak,63,ada,ya,81,1,tidak,laki-laki,59,tidak layak,0
2.97,7,kedokteran,tidak,6211805,pedagang,5,menumpang,pedesaan,ya,2,tidak,91,ada,ya,58,7,tidak,perempuan,57,tidak layak,0
3.27,4,ekonomi,ya,5161355,karyawan swasta,2,menumpang,pedesaan,tidak,5,ya,79,ada,ya,65,0,tidak,laki-laki,34,tidak layak,0
3.61,1,pertanian,tidak,8094054,pegawai negeri,3,milik sendiri,perkotaan,ya,3,ya,75,tidak,tidak,53,14,tidak,laki-laki,6,tidak layak,0
3.44,7,ekonomi,ya,3678437,karyawan swasta,2,menumpang,pedesaan,tidak,4,tidak,93,ada,ya,57,7,tidak,laki-laki,73,layak,4232864
3.13,4,manajemen,tidak,5121443,pedagang,5,menumpang,perkotaan,ya,0,ya,94,tidak,tidak,63,5,tidak,perempuan,81,layak,4415856
3.02,5,teknik informatika,ya,8942968,wirausaha,5,kontrak,perkotaan,tidak,5,ya,70,ada,ya,61,10,tidak,laki-laki,1,tidak layak,0
2.91,8,ekonomi,tidak,3478208,pegawai negeri,1,milik sendiri,perkotaan,tidak,4,ya,80,ada,tidak,65,15,tidak,laki-laki,72,tidak layak,0
2.45,5,kedokteran,tidak,3306907,tidak bekerja,2,milik sendiri,3t,tidak,2,tidak,97,tidak,tidak,92,15,tidak,perempuan,1,tidak layak,0
3.45,7,pendidikan,tidak,1997768,pedagang,4,menumpang,3t,ya,5,tidak,78,ada,tidak,93,11,tidak,perempuan,75,layak,5500518
3.66,5,sastra,ya,9225456,wirausaha,3,menumpang,3t,tidak,4,tidak,100,tidak,tidak,57,0,tidak,laki-laki,59,tidak layak,0
3.08,3,sastra,tidak,3228089,pegawai negeri,4,kontrak,3t,ya,3,ya,68,ada,ya,81,9,ya,perempuan,84,tidak layak,0
2.64,1,teknik informatika,tidak,6375686,pegawai negeri,5,menumpang,perkotaan,ya,0,tidak,59,ada,tidak,87,2,tidak,laki-laki,60,tidak layak,0
2.73,6,kedokteran,tidak,6980045,karyawan swasta,4,milik sendiri,perkotaan,tidak,4,ya,86,tidak,tidak,87,4,tidak,laki-laki,32,tidak layak,0
2.99,3,ekonomi,tidak,5550986,pegawai negeri,1,kontrak,pedesaan,tidak,4,ya,100,tidak,ya,58,16,tidak,perempuan,64,tidak layak,0
3.51,6,pertanian,tidak,8327453,karyawan swasta,4,kontrak,3t,ya,3,ya,58,tidak,ya,87,16,tidak,perempuan,6,tidak layak,0
3.61,7,hukum,tidak,599872,karyawan swasta,5,kontrak,perkotaan,ya,2,tidak,91,ada,tidak,88,3,tidak,perempuan,88,layak,4779209
3.12,1,manajemen,tidak,9070152,wirausaha,6,milik sendiri,perkotaan,ya,4,tidak,81,ada,ya,93,20,tidak,perempuan,80,layak,4607941
2.76,1,pertanian,tidak,3867185,petani,1,milik sendiri,3t,tidak,4,ya,63,ada,tidak,51,16,tidak,laki-laki,15,tidak layak,0
3.18,5,ekonomi,tidak,3587744,tidak bekerja,2,menumpang,pedesaan,tidak,3,tidak,89,ada,tidak,59,20,ya,laki-laki,95,tidak layak,0
3.86,4,hukum,tidak,9671785,pedagang,4,kontrak,pedesaan,tidak,4,tidak,92,tidak,tidak,74,3,tidak,perempuan,18,tidak layak,0
3.02,1,sastra,tidak,9965857,karyawan swasta,1,menumpang,pedesaan,tidak,5,tidak,52,tidak,ya,79,14,tidak,laki-laki,45,tidak layak,0
3.51,4,pendidikan,tidak,9308972,karyawan swasta,5,milik sendiri,3t,ya,5,tidak,71,tidak,ya,67,9,tidak,laki-laki,82,tidak layak,0
3.69,8,ekonomi,tidak,3526182,buruh,6,menumpang,perkotaan,ya,1,tidak,87,tidak,tidak,54,1,ya,laki-laki,29,tidak layak,0
2.81,2,manajemen,tidak,8492883,pegawai negeri,2,menumpang,perkotaan,ya,1,tidak,74,tidak,ya,53,19,tidak,laki-laki,95,tidak layak,0
2.84,2,pertanian,tidak,994247,pedagang,3,milik sendiri,perkotaan,ya,5,tidak,62,ada,tidak,81,14,tidak,laki-laki,25,tidak layak,0
3.57,3,ekonomi,tidak,3726188,petani,5,milik sendiri,perkotaan,tidak,1,ya,58,ada,tidak,99,13,tidak,laki-laki,43,tidak layak,0
